uid,title,summary,teacher_avg_star_rating,subject,age_min,age_max,size_max,class_type,duration_weeks,weekly_meetings,duration_minutes,total_duration_minutes,price_dollars,section_uid,start_date,start_dow,start_hour_of_day,start_time,end_time,total_enrollments,meeting_1_start_time,meeting_1_end_time,meeting_2_start_time,meeting_2_end_time,meeting_3_start_time,meeting_3_end_time,meeting_4_start_time,meeting_4_end_time,meeting_5_start_time,meeting_5_end_time,meeting_6_start_time,meeting_6_end_time,meeting_7_start_time,meeting_7_end_time,meeting_8_start_time,meeting_8_end_time,meeting_9_start_time,meeting_9_end_time,meeting_10_start_time,meeting_10_end_time,meeting_11_start_time,meeting_11_end_time,meeting_12_start_time,meeting_12_end_time,meeting_13_start_time,meeting_13_end_time,meeting_14_start_time,meeting_14_end_time,meeting_15_start_time,meeting_15_end_time,meeting_16_start_time,meeting_16_end_time,meeting_17_start_time,meeting_17_end_time,meeting_18_start_time,meeting_18_end_time,meeting_19_start_time,meeting_19_end_time,meeting_20_start_time,meeting_20_end_time
21d7390f-8907-4464-8b39-76d4870a33d1,Can You Make It? A Simulation of What Life Is Like as an Adult - SUMMER CAMP ,"Does your teen have what it takes to balance their budget, pay their bills and make solid life decisions?  ",4.6451612903225806,Life Skills,14,18,10,camp,1,4,55,220,45.0000000000000000,4a0e84c7-7560-44fd-8480-5263a3f9646c,2020-07-13T00:00:00.000-07:00,Mon,9.0,2020-07-13T09:00:00.000-07:00,2020-07-16T09:55:00.000-07:00,2,2020-07-13T09:00:00.000-07:00,2020-07-13T09:55:00.000-07:00,2020-07-14T09:00:00.000-07:00,2020-07-14T09:55:00.000-07:00,2020-07-15T09:00:00.000-07:00,2020-07-15T09:55:00.000-07:00,2020-07-16T09:00:00.000-07:00,2020-07-16T09:55:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b26e4b2d-8fbb-4a2f-90e1-cd16dd2a7783,Astronomy Camp in Minecraft: Explore Our Solar System & Beyond (5-Session),"Journey through space and learn how our planet, solar system, and universe work through an astronomical Minecraft experience. (Minecraft Java Edition for PC / Mac Only. NO iPad or Tablet.)",4.7802197802197802,Science & Nature,8,13,10,camp,1,5,90,450,80.0000000000000000,cae7e9f5-ac36-4a32-bc51-110497434f17,2020-07-13T00:00:00.000-07:00,Mon,13.0,2020-07-13T13:00:00.000-07:00,2020-07-17T14:30:00.000-07:00,1,2020-07-13T13:00:00.000-07:00,2020-07-13T14:30:00.000-07:00,2020-07-14T13:00:00.000-07:00,2020-07-14T14:30:00.000-07:00,2020-07-15T13:00:00.000-07:00,2020-07-15T14:30:00.000-07:00,2020-07-16T13:00:00.000-07:00,2020-07-16T14:30:00.000-07:00,2020-07-17T13:00:00.000-07:00,2020-07-17T14:30:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1dc36d2-f730-40a2-92eb-280ea031e8f2,How to Summarize What You Read,Summarizing strategies enhance learning and promote the ability to remember more reading information.,4.4316239316239316,English,11,15,5,camp,1,3,60,180,60.0000000000000000,05beba1f-09a9-4bee-b4a1-4a19acc1bd51,2020-07-13T00:00:00.000-07:00,Mon,16.0,2020-07-13T16:00:00.000-07:00,2020-07-15T17:00:00.000-07:00,1,2020-07-13T16:00:00.000-07:00,2020-07-13T17:00:00.000-07:00,2020-07-14T16:00:00.000-07:00,2020-07-14T17:00:00.000-07:00,2020-07-15T16:00:00.000-07:00,2020-07-15T17:00:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a758e343-e03a-48fb-93ae-0648ab86730b,American Sign Language Basics: Level 3! (Ages 9-13),Part III of my American Sign Language Basics! course series!,4.9172413793103448,World Languages,9,13,14,camp,1,4,45,180,40.0000000000000000,d3b0b4fe-a301-46ec-be3f-1c28eb493468,2020-07-13T00:00:00.000-07:00,Mon,9.0,2020-07-13T09:00:00.000-07:00,2020-07-16T09:45:00.000-07:00,1,2020-07-13T09:00:00.000-07:00,2020-07-13T09:45:00.000-07:00,2020-07-14T09:00:00.000-07:00,2020-07-14T09:45:00.000-07:00,2020-07-15T09:00:00.000-07:00,2020-07-15T09:45:00.000-07:00,2020-07-16T09:00:00.000-07:00,2020-07-16T09:45:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a762412-80e4-435a-8378-d2caf2ba4f62,Unicorn University - Become a Unicorn for a Day,"In this one-time class, students will use their imaginations, creativity, and hands-on activities to become a Unicorn for a day. ",5.0000000000000000,Science & Nature,3,6,6,one_time,1,1,30,30,9.0000000000000000,8d38015e-1f9c-4499-b21c-60df41cb1317,2020-07-14T00:00:00.000-07:00,Tue,7.0,2020-07-14T07:00:00.000-07:00,2020-07-14T07:30:00.000-07:00,1,2020-07-14T07:00:00.000-07:00,2020-07-14T07:30:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6ea8cb6-290e-428a-9ab5-09edbba03d27,Real Life Brain Eating Zombie Summer Camp,"13 real life parasites that can cause their zombie hosts to play guard, commit suicide, attract predators, or simply explode in a shower of goo.",4.7777777777777778,Science & Nature,10,15,10,camp,1,3,45,135,45.0000000000000000,83717cdc-bcab-48b3-bfad-5bdd1679a481,2020-07-13T00:00:00.000-07:00,Mon,15.0,2020-07-13T15:00:00.000-07:00,2020-07-17T15:45:00.000-07:00,1,2020-07-13T15:00:00.000-07:00,2020-07-13T15:45:00.000-07:00,2020-07-15T15:00:00.000-07:00,2020-07-15T15:45:00.000-07:00,2020-07-17T15:00:00.000-07:00,2020-07-17T15:45:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f9b51b3-9b86-4c25-a12f-0234894f51ca,Harry Potter Reading Comprehension Escape Room (Ages 8-12),Students will practice their reading comprehension skills to escape from a Harry Potter-themed escape room. Can you escape with the sorcerer's stone?,4.5892857142857143,English,8,12,9,one_time,1,1,45,45,20.0000000000000000,3a153fff-d749-4a4d-809a-55c3e60ce44f,2020-07-13T00:00:00.000-07:00,Mon,13.0,2020-07-13T13:30:00.000-07:00,2020-07-13T14:15:00.000-07:00,1,2020-07-13T13:30:00.000-07:00,2020-07-13T14:15:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85f5b0de-b8a9-445b-94be-0fa896316bfd,Taming the Anger Dragon: Managing Extreme Emotions,ANGER isn’t a BAD word and you can learn to control it!,4.6749116607773852,Health & Wellness,8,12,9,short,4,1,55,55,48.0000000000000000,bef16e4c-3b6f-4779-b6a4-c28f923e32b8,2020-07-16T00:00:00.000-07:00,Thu,15.0,2020-07-16T15:00:00.000-07:00,2020-08-06T15:55:00.000-07:00,2,2020-07-16T15:00:00.000-07:00,2020-07-16T15:55:00.000-07:00,2020-07-23T15:00:00.000-07:00,2020-07-23T15:55:00.000-07:00,2020-07-30T15:00:00.000-07:00,2020-07-30T15:55:00.000-07:00,2020-08-06T15:00:00.000-07:00,2020-08-06T15:55:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33188854-5706-448e-a407-9f7632363dad,Under the Sea: Mermaids & Monsters--1 Week Camp,"Create a rich undersea world full of mermaids, monsters, and wonder -- all while practicing strong writing skills.",4.8527131782945736,English,10,13,10,camp,1,5,50,250,75.0000000000000000,97afdfcc-07ee-44d2-af91-9e727b84e3d7,2020-07-13T00:00:00.000-07:00,Mon,6.0,2020-07-13T06:00:00.000-07:00,2020-07-17T07:00:00.000-07:00,1,2020-07-13T06:00:00.000-07:00,2020-07-13T07:00:00.000-07:00,2020-07-14T06:00:00.000-07:00,2020-07-14T07:00:00.000-07:00,2020-07-15T06:00:00.000-07:00,2020-07-15T07:00:00.000-07:00,2020-07-16T06:00:00.000-07:00,2020-07-16T07:00:00.000-07:00,2020-07-17T06:00:00.000-07:00,2020-07-17T07:00:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f2e5f589-d15c-4d69-8934-20642ed3df8e,Intro to Scratch Coding,Come explore coding and creative computing. Students will create virtual projects by using the design thinking process.,4.6067415730337079,Coding & Tech,8,13,14,camp,1,2,30,60,14.0000000000000000,d0128199-964f-40fe-a0fe-74951571ffb2,2020-07-14T00:00:00.000-07:00,Tue,6.0,2020-07-14T06:00:00.000-07:00,2020-07-16T06:30:00.000-07:00,1,2020-07-14T06:00:00.000-07:00,2020-07-14T06:30:00.000-07:00,2020-07-16T06:00:00.000-07:00,2020-07-16T06:30:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
