uid,title,summary,teacher_avg_star_rating,subject,age_min,age_max,size_max,class_type,duration_weeks,weekly_meetings,duration_minutes,total_duration_minutes,price_dollars,section_uid,start_date,start_dow,start_hour_of_day,start_time,end_time,total_enrollments,meeting_uid,meeting_start_time,meeting_end_time,meeting_start_dow,meeting_start_hour_of_day
00a04c4f-94a7-4b5a-93a8-fff80164ef31,"Polly Pocket Party! Read, sing, dance, & learn! ","Tiny is Mighty! Let’s read, dance, and play Polly Pockets! ",4.7791411042944785,Health & Wellness,4,6,6,one_time,1,1,25,25,8.0000000000000000,ba4eaf02-95cf-4558-8e7c-905a63dff172,2020-07-16T00:00:00.000-07:00,Thu,9.0,2020-07-16T09:00:00.000-07:00,2020-07-16T09:25:00.000-07:00,1,fe161830-1fe0-4775-bc08-2a20289d96fe,2020-07-16T09:00:00.000-07:00,2020-07-16T09:25:00.000-07:00,Thu,9.0
00c2565d-f384-487f-a94c-d8c265a41a42,Getting it Together - Executive Function for Tweens & Teens FLEX Class,Introducing students to Executive Function skills and how to help themselves in the areas they are struggling in most.,4.6232876712328767,Life Skills,12,17,14,flex,6,0,55,0,85.0000000000000000,03933022-d4e3-4cf3-8829-a479e889783a,2020-07-13T00:00:00.000-07:00,Mon,10.0,2020-07-13T10:00:00.000-07:00,2020-08-16T08:00:00.000-07:00,1,,,,,
00de224f-d98a-46c5-b831-a49db25e19ad,Lets Talk and Play Animal Crossing and Visit One Another's Islands.,Come join me and other learners as we chat about our love for Animal Crossing and even visit each others islands. ,4.6000000000000000,Arts,8,13,3,one_time,1,1,120,120,10.0000000000000000,f8877ad2-d677-4452-95f8-25b3587e3ca2,2020-07-13T00:00:00.000-07:00,Mon,14.0,2020-07-13T14:00:00.000-07:00,2020-07-13T15:30:00.000-07:00,1,f5595fa3-5304-4d52-94f2-faa473d0399b,2020-07-13T14:00:00.000-07:00,2020-07-13T15:30:00.000-07:00,Mon,14.0
010c68b4-ad86-4325-b9e9-f9c679882298,The Sinister Museum - An Immersive Murder Mystery Experience,"In this one time course, students will use logic and deductive reasoning to solve a perplexing murder.",4.2993951612903226,Life Skills,9,14,18,one_time,1,1,40,40,17.0000000000000000,436a4965-ad1a-46cb-bf05-8d5d3a46039a,2020-07-13T00:00:00.000-07:00,Mon,9.0,2020-07-13T09:20:00.000-07:00,2020-07-13T10:00:00.000-07:00,1,3d866b66-3399-4458-afbf-319862d5effe,2020-07-13T09:20:00.000-07:00,2020-07-13T10:00:00.000-07:00,Mon,9.0
010c68b4-ad86-4325-b9e9-f9c679882298,The Sinister Museum - An Immersive Murder Mystery Experience,"In this one time course, students will use logic and deductive reasoning to solve a perplexing murder.",4.2993951612903226,Life Skills,9,14,18,one_time,1,1,40,40,17.0000000000000000,fdd5827f-f7d8-4260-8bfb-85aef6156168,2020-07-15T00:00:00.000-07:00,Wed,7.0,2020-07-15T07:20:00.000-07:00,2020-07-15T08:00:00.000-07:00,2,26f25780-db01-4f3a-8456-e15ffe07822f,2020-07-15T07:20:00.000-07:00,2020-07-15T08:00:00.000-07:00,Wed,7.0
01649578-f7b0-4e78-b409-544a7bf956d6,Dump the Summer Slump: Morning Meeting for Upper Elementary Students,"This week's long course will be modeled like a morning meeting. We will do a math word problem, daily oral grammar, a ""history mystery"" and a simple science experiment. Each Friday we will have a dissection lab!",4.8082191780821918,Math,8,12,18,ongoing,1,5,40,200,35.0000000000000000,791dfbf0-2d63-445c-832b-21594d4b16a9,2020-07-13T00:00:00.000-07:00,Mon,6.0,2020-07-13T06:00:00.000-07:00,2020-07-17T06:40:00.000-07:00,1,a3274ae1-9d6b-419f-b894-c655f1b831cf,2020-07-17T06:00:00.000-07:00,2020-07-17T06:40:00.000-07:00,Fri,6.0
01649578-f7b0-4e78-b409-544a7bf956d6,Dump the Summer Slump: Morning Meeting for Upper Elementary Students,"This week's long course will be modeled like a morning meeting. We will do a math word problem, daily oral grammar, a ""history mystery"" and a simple science experiment. Each Friday we will have a dissection lab!",4.8082191780821918,Math,8,12,18,ongoing,1,5,40,200,35.0000000000000000,791dfbf0-2d63-445c-832b-21594d4b16a9,2020-07-13T00:00:00.000-07:00,Mon,6.0,2020-07-13T06:00:00.000-07:00,2020-07-17T06:40:00.000-07:00,1,224983b5-fc0d-4f36-ab4e-4f06e679af82,2020-07-16T06:00:00.000-07:00,2020-07-16T06:40:00.000-07:00,Thu,6.0
01649578-f7b0-4e78-b409-544a7bf956d6,Dump the Summer Slump: Morning Meeting for Upper Elementary Students,"This week's long course will be modeled like a morning meeting. We will do a math word problem, daily oral grammar, a ""history mystery"" and a simple science experiment. Each Friday we will have a dissection lab!",4.8082191780821918,Math,8,12,18,ongoing,1,5,40,200,35.0000000000000000,791dfbf0-2d63-445c-832b-21594d4b16a9,2020-07-13T00:00:00.000-07:00,Mon,6.0,2020-07-13T06:00:00.000-07:00,2020-07-17T06:40:00.000-07:00,1,7efb1073-9f3f-420c-a63f-f62ed80c123d,2020-07-15T06:00:00.000-07:00,2020-07-15T06:40:00.000-07:00,Wed,6.0
01649578-f7b0-4e78-b409-544a7bf956d6,Dump the Summer Slump: Morning Meeting for Upper Elementary Students,"This week's long course will be modeled like a morning meeting. We will do a math word problem, daily oral grammar, a ""history mystery"" and a simple science experiment. Each Friday we will have a dissection lab!",4.8082191780821918,Math,8,12,18,ongoing,1,5,40,200,35.0000000000000000,791dfbf0-2d63-445c-832b-21594d4b16a9,2020-07-13T00:00:00.000-07:00,Mon,6.0,2020-07-13T06:00:00.000-07:00,2020-07-17T06:40:00.000-07:00,1,be024021-6eaf-40dc-8e6d-8fb8483030e2,2020-07-14T06:00:00.000-07:00,2020-07-14T06:40:00.000-07:00,Tue,6.0
01649578-f7b0-4e78-b409-544a7bf956d6,Dump the Summer Slump: Morning Meeting for Upper Elementary Students,"This week's long course will be modeled like a morning meeting. We will do a math word problem, daily oral grammar, a ""history mystery"" and a simple science experiment. Each Friday we will have a dissection lab!",4.8082191780821918,Math,8,12,18,ongoing,1,5,40,200,35.0000000000000000,791dfbf0-2d63-445c-832b-21594d4b16a9,2020-07-13T00:00:00.000-07:00,Mon,6.0,2020-07-13T06:00:00.000-07:00,2020-07-17T06:40:00.000-07:00,1,251aa07b-d6fd-4da0-95d1-c908bf12340e,2020-07-13T06:00:00.000-07:00,2020-07-13T06:40:00.000-07:00,Mon,6.0
